objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,licheng_temple.jpg,,,Solitary Temple amid Clearing Peaks,"Li Cheng (919-967, attributed)",960,"Hanging scroll, ink and light color on silk, 111.4 x 46 cm",landscape; architecture; ink landscape,"Kaifeng, China",34.7858316,114.3244735,"Nelson Atkins Museum of Art, Kansas City",NAM NA,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,fankuan_travelers.jpg,,,Travelers among Streams and Mountains,Fan Kuan (ca. 960 - ca. 1030),1000,"Hanging scroll, ink and light color on silk, 206.3 x 103.3 cm",landscape; architecture; ink landscape,"Mount Zhongnan, China",33.9333,109.0167,"National Palace Museum, Taipei",NPM NA,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,guoxi_earlyspring.jpg,,,Early Spring,Guo Xi,1072,"Hanging scroll, ink and light color on silk, 158 x 108.1 cm",landscape; architecture; ink landscape,"Kaifeng, China ",34.7858316,114.3244735,"National Palace Museum, Taipei",NPM NN,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
